torch-version,cuda-version,cudnn-version,model-arch,optimize,optimizer,batch-size,resolution-h,resolution-w,pixels,iterations,inference-mode,no-grad,cudnn-benchmark,autocast-dtype,model-cast-dtype,channels-last,pessimization,jit-script,eval,compile,compile-mode,set-to-none,mem-ckpt,bnb,paged,model-params,first-batch (ms),throughput (it/s),peak-memory (GB),delta-memory (GB),stage
2.1.0,12.1,8.900,resnet152,False,Adam,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,False,60192808,310.76,305.14,0.023,0.023,inputs-created
2.1.0,12.1,8.900,resnet152,False,Adam,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,False,60192808,310.76,305.14,0.248,0.225,model-ready
2.1.0,12.1,8.900,resnet152,False,Adam,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,False,60192808,310.76,305.14,14.041,13.793000000000001,peak-main-loop
2.1.0,12.1,8.900,resnet152,False,Adam,32,256,256,65536,25,False,False,False,float32,None,False,False,False,False,False,None,False,None,False,False,60192808,310.76,305.14,7.14,-6.901000000000001,post-main-loop
2.1.0,12.1,8.900,resnet152,False,Adam,32,256,256,65536,25,True,False,False,float32,None,False,False,False,False,False,None,False,None,False,False,60192808,193.4,304.52,0.023,0.023,inputs-created
2.1.0,12.1,8.900,resnet152,False,Adam,32,256,256,65536,25,True,False,False,float32,None,False,False,False,False,False,None,False,None,False,False,60192808,193.4,304.52,0.248,0.225,model-ready
2.1.0,12.1,8.900,resnet152,False,Adam,32,256,256,65536,25,True,False,False,float32,None,False,False,False,False,False,None,False,None,False,False,60192808,193.4,304.52,0.663,0.41500000000000004,peak-main-loop
2.1.0,12.1,8.900,resnet152,False,Adam,32,256,256,65536,25,True,False,False,float32,None,False,False,False,False,False,None,False,None,False,False,60192808,193.4,304.52,0.256,-0.40700000000000003,post-main-loop
