torch-version,cuda-version,cudnn-version,model-arch,optimize,optimizer,batch-size,resolution-h,resolution-w,pixels,iterations,inference-mode,no-grad,cudnn-benchmark,autocast-dtype,model-cast-dtype,channels-last,pessimization,jit-script,eval,compile,compile-mode,set-to-none,mem-ckpt,bnb,paged,model-params,first-batch (ms),throughput (it/s),peak-memory (GB),delta-memory (GB),stage
2.1.0,12.1,8.900,resnet152,True,Adam,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,447.85,238.78,4.668,4.431,peak-main-loop
2.1.0,12.1,8.900,resnet152,True,Adam,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,447.85,238.78,1.062,-3.606,post-main-loop
2.1.0,12.1,8.900,resnet152,True,AdamW,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,427.59,236.98,0.012,0.012,inputs-created
2.1.0,12.1,8.900,resnet152,True,AdamW,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,427.59,236.98,0.237,0.22499999999999998,model-ready
2.1.0,12.1,8.900,resnet152,True,AdamW,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,427.59,236.98,4.668,4.431,peak-main-loop
2.1.0,12.1,8.900,resnet152,True,AdamW,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,427.59,236.98,1.062,-3.606,post-main-loop
2.1.0,12.1,8.900,resnet152,True,RMSprop,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,423.4,244.31,0.012,0.012,inputs-created
2.1.0,12.1,8.900,resnet152,True,RMSprop,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,423.4,244.31,0.237,0.22499999999999998,model-ready
2.1.0,12.1,8.900,resnet152,True,RMSprop,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,423.4,244.31,4.441,4.204,peak-main-loop
2.1.0,12.1,8.900,resnet152,True,RMSprop,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,423.4,244.31,0.837,-3.604,post-main-loop
2.1.0,12.1,8.900,resnet152,True,SGD,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,402.38,248.49,0.012,0.012,inputs-created
2.1.0,12.1,8.900,resnet152,True,SGD,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,402.38,248.49,0.237,0.22499999999999998,model-ready
2.1.0,12.1,8.900,resnet152,True,SGD,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,402.38,248.49,4.441,4.204,peak-main-loop
2.1.0,12.1,8.900,resnet152,True,SGD,32,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,60192808,402.38,248.49,0.837,-3.604,post-main-loop
