torch-version,cuda-version,cudnn-version,model-arch,optimize,optimizer,batch-size,resolution-h,resolution-w,pixels,iterations,inference-mode,no-grad,cudnn-benchmark,autocast-dtype,model-cast-dtype,channels-last,pessimization,jit-script,eval,compile,compile-mode,set-to-none,mem-ckpt,bnb,paged,model-params,first-batch (ms),throughput (it/s),peak-memory (GB),delta-memory (GB),stage
2.1.0,12.1,8.900,bert-base-uncased,True,Adam,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,557.6,53.43,6.814,6.405,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,Adam,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,557.6,53.43,2.145,-4.6690000000000005,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,AdamW,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,485.85,52.76,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,AdamW,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,485.85,52.76,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,AdamW,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,485.85,52.76,6.814,6.405,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,AdamW,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,485.85,52.76,2.145,-4.6690000000000005,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,RMSprop,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,506.85,55.48,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,RMSprop,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,506.85,55.48,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,RMSprop,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,506.85,55.48,6.395,5.986,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,RMSprop,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,506.85,55.48,1.73,-4.664999999999999,post-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,SGD,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,461.45,57.14,0.0,0.0,inputs-created
2.1.0,12.1,8.900,bert-base-uncased,True,SGD,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,461.45,57.14,0.409,0.409,model-ready
2.1.0,12.1,8.900,bert-base-uncased,True,SGD,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,461.45,57.14,6.395,5.986,peak-main-loop
2.1.0,12.1,8.900,bert-base-uncased,True,SGD,8,256,256,65536,25,False,False,False,float16,None,False,False,False,False,False,None,False,None,False,False,109514298,461.45,57.14,1.73,-4.664999999999999,post-main-loop
